Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Brazil;BRA;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;43.85;43.292;42.698;42.014;41.001;39.844;38.638;37.409;36.345;35.685;35.231;34.875;34.541;34.223;33.682;33.484;33.32;33.173;32.979;32.734;32.417;32.017;31.463;30.8;29.967;29.184;28.343;27.383;26.459;25.644;24.765;24.056;23.302;22.95;22.525;22.283;21.872;21.584;21.221;20.581;19.879;19.185;18.49;17.819;17.5;17.176;16.691;16.243;15.801;15.564;15.338;15.141;14.935;14.785;14.784;14.684;14.146;14.123;14.022;13.548;12.995;12.754;12.555;12.322;12.133;
Japan;JPN;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;17.2;16.9;17;17.3;17.7;18.6;13.7;19.4;18.6;18.5;18.8;19.2;19.3;19.4;18.6;17.1;16.3;15.5;14.9;14.2;13.6;13;12.8;12.7;12.5;11.9;11.4;11.1;10.8;10.2;10;9.9;9.8;9.6;10;9.6;9.7;9.5;9.6;9.4;9.5;9.3;9.2;8.9;8.8;8.4;8.7;8.6;8.7;8.5;8.5;8.3;8.2;8.2;8;8;7.8;7.6;7.4;7;6.8;6.6;6.3;6;5.7;
Korea; Rep.;KOR;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;42.073;40.851;38.974;37.194;35.174;33.754;32.787;31.529;30.743;30.318;31.2;31.2;28.4;28.3;26.6;24.8;22.2;22.7;20.3;23;22.6;22.4;21.6;19.3;16.7;16.1;15.4;15;15.1;15.1;15.2;16.4;16.7;16;16;15.7;15;14.5;13.7;13.2;13.5;11.7;10.3;10.2;9.8;9;9.2;10.1;9.4;9;9.4;9.4;9.6;8.6;8.6;8.6;7.9;7;6.4;5.9;5.3;5.1;4.9;4.5;4.7
China;CHN;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;20.86;18.02;37.01;43.37;39.14;37.88;35.05;33.96;35.59;34.11;33.43;30.65;29.77;27.93;24.82;23.01;19.91;18.93;18.25;17.82;18.21;20.91;22.28;20.19;19.9;21.04;22.43;23.33;22.37;21.58;21.06;19.68;18.27;18.09;17.7;17.12;16.98;16.57;15.64;14.64;14.03;13.38;12.86;12.41;12.29;12.4;12.09;12.1;12.14;11.95;11.9;13.27;14.57;13.03;13.83;11.99;13.57;12.64;10.86;10.41;8.52;7.52;6.77;6.39;6.77;
United States;USA;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;23.7;23.3;22.4;21.7;21.1;19.4;18.4;17.8;17.6;17.9;18.4;17.2;15.6;14.8;14.8;14.6;14.6;15.1;15;15.6;15.9;15.8;15.9;15.6;15.6;15.8;15.6;15.7;16;16.4;16.7;16.2;15.8;15.4;15;14.6;14.4;14.2;14.3;14.2;14.4;14.1;14;14.1;14;14;14.3;14.3;14;13.5;13;12.7;12.6;12.4;12.5;12.4;12.2;11.8;11.6;11.4;10.9;11;11;10.7;10.6;
France;FRA;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;18.7;18.7;18.6;18.5;18.4;18.2;18;17.7;17.5;17.3;17;16.7;16.3;15.9;15.5;15;14.6;14.3;14.1;14;14;14.1;14.2;14.2;14.3;14.2;14.1;14;13.8;13.6;13.4;13.2;13.1;13;12.5;12.8;12.8;12.7;12.8;12.9;13.3;13.1;12.9;12.8;12.8;12.8;13.1;12.8;12.9;12.8;12.9;12.7;12.6;12.4;12.4;12;11.8;11.5;11.3;11.2;10.9;10.9;10.7;9.9;9.7;
India;IND;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;42.902;42.67;42.475;42.261;42.061;41.65;41.205;40.831;40.485;40.058;39.763;39.724;39.458;39.299;39;38.362;38.244;37.563;37.149;37.001;37.057;36.761;36.403;36.125;35.917;35.42;35.22;34.442;33.892;33.279;32.569;32.023;31.414;30.771;30.295;29.77;29.217;28.685;28.199;27.73;27.518;27.206;26.538;25.783;25.121;24.304;23.564;22.932;22.506;22.211;21.633;21.156;20.672;20.061;19.089;18.936;18.756;17.995;17.91;17.368;16.744;16.491;16.336;16.146;15.981;
Argentina;ARG;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;24.152;23.857;23.753;23.504;23.174;22.612;22.313;22.445;22.691;23.027;23.355;23.57;23.823;24.121;24.493;24.927;25.235;25.48;25.383;25.12;24.72;24.25;23.771;23.268;22.98;22.546;22.398;22.208;22.22;22.012;22.078;21.914;21.726;21.596;21.414;20.954;20.422;19.957;19.707;19.644;19.328;18.94;18.702;18.41;18.295;18.306;18.161;17.967;18.462;18.231;18.314;18.172;17.48;17.683;18.019;17.665;16.789;16.155;15.332;13.902;11.799;11.682;10.926;11.064;11.086;
