Pais,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,19.328,18.94,18.702,18.41,18.295,18.306,18.161,17.967,18.462,18.231,18.314,18.172,17.48,17.683,18.019,17.665,16.789,16.155,15.332,13.902,11.799,11.682,10.926,11.064,11.086
Brasil,19.879,19.185,18.49,17.819,17.5,17.176,16.691,16.243,15.801,15.564,15.338,15.141,14.935,14.785,14.784,14.684,14.146,14.123,14.022,13.548,12.995,12.754,12.555,12.322,12.133
China,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,11.95,11.9,13.27,14.57,13.03,13.83,11.99,13.57,12.64,10.86,10.41,8.52,7.52,6.77,6.39,6.77
França,13.3,13.1,12.9,12.8,12.8,12.8,13.1,12.8,12.9,12.8,12.9,12.7,12.6,12.4,12.4,12.0,11.8,11.5,11.3,11.2,10.9,10.9,10.7,9.9,9.7
Índia,27.518,27.206,26.538,25.783,25.121,24.304,23.564,22.932,22.506,22.211,21.633,21.156,20.672,20.061,19.089,18.936,18.756,17.995,17.91,17.368,16.744,16.491,16.336,16.146,15.981
Japão,9.5,9.3,9.2,8.9,8.8,8.4,8.7,8.6,8.7,8.5,8.5,8.3,8.2,8.2,8.0,8.0,7.8,7.6,7.4,7.0,6.8,6.6,6.3,6.0,5.7
Estados Unidos,14.4,14.1,14.0,14.1,14.0,14.0,14.3,14.3,14.0,13.5,13.0,12.7,12.6,12.4,12.5,12.4,12.2,11.8,11.6,11.4,10.9,11.0,11.0,10.7,10.6
