antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Cesarea_alta, Pre_natal_7_mais_alto","Mae_30_34_alta, Instrucao_12_mais_alta",0.32432432432432434,0.2702702702702703,0.2702702702702703,0.8333333333333334,3.0833333333333335,1.0,0.18261504747991236,4.378378378378379,1.0,0.8333333333333334,0.771604938271605,0.9166666666666667
"Mae_30_34_alta, Instrucao_12_mais_alta","Cesarea_alta, Pre_natal_7_mais_alto",0.2702702702702703,0.32432432432432434,0.2702702702702703,1.0,3.083333333333333,1.0,0.18261504747991236,inf,0.9259259259259259,0.8333333333333334,1.0,0.9166666666666667
"Cesarea_alta, Mae_30_34_alta","Instrucao_12_mais_alta, Pre_natal_7_mais_alto",0.32432432432432434,0.2972972972972973,0.2702702702702703,0.8333333333333334,2.803030303030303,1.0,0.17384952520087654,4.216216216216217,0.9519999999999998,0.7692307692307692,0.762820512820513,0.8712121212121212
"Mae_30_34_alta, Pre_natal_7_mais_alto","Cesarea_alta, Instrucao_12_mais_alta",0.32432432432432434,0.2972972972972973,0.2702702702702703,0.8333333333333334,2.803030303030303,1.0,0.17384952520087654,4.216216216216217,0.9519999999999998,0.7692307692307692,0.762820512820513,0.8712121212121212
"Cesarea_alta, Instrucao_12_mais_alta","Mae_30_34_alta, Pre_natal_7_mais_alto",0.2972972972972973,0.32432432432432434,0.2702702702702703,0.9090909090909091,2.8030303030303028,1.0,0.17384952520087654,7.43243243243243,0.9153846153846154,0.7692307692307692,0.8654545454545454,0.8712121212121212
"Instrucao_12_mais_alta, Pre_natal_7_mais_alto","Cesarea_alta, Mae_30_34_alta",0.2972972972972973,0.32432432432432434,0.2702702702702703,0.9090909090909091,2.8030303030303028,1.0,0.17384952520087654,7.43243243243243,0.9153846153846154,0.7692307692307692,0.8654545454545454,0.8712121212121212
"Cesarea_alta, Instrucao_12_mais_alta",Pre_natal_7_mais_alto,0.2972972972972973,0.3783783783783784,0.2972972972972973,1.0,2.642857142857143,1.0,0.1848064280496713,inf,0.8846153846153847,0.7857142857142858,1.0,0.8928571428571428
"Instrucao_12_mais_alta, Pre_natal_7_mais_alto",Cesarea_alta,0.2972972972972973,0.3783783783783784,0.2972972972972973,1.0,2.642857142857143,1.0,0.1848064280496713,inf,0.8846153846153847,0.7857142857142858,1.0,0.8928571428571428
"Mae_35_39_alta, Cesarea_alta",Mae_30_34_alta,0.2702702702702703,0.3783783783783784,0.2702702702702703,1.0,2.642857142857143,1.0,0.16800584368151936,inf,0.8518518518518519,0.7142857142857143,1.0,0.8571428571428572
"Mae_30_34_alta, Instrucao_12_mais_alta",Pre_natal_7_mais_alto,0.2702702702702703,0.3783783783783784,0.2702702702702703,1.0,2.642857142857143,1.0,0.16800584368151936,inf,0.8518518518518519,0.7142857142857143,1.0,0.8571428571428572
"Mae_30_34_alta, Instrucao_12_mais_alta",Cesarea_alta,0.2702702702702703,0.3783783783783784,0.2702702702702703,1.0,2.642857142857143,1.0,0.16800584368151936,inf,0.8518518518518519,0.7142857142857143,1.0,0.8571428571428572
"Cesarea_alta, Mae_30_34_alta, Instrucao_12_mais_alta",Pre_natal_7_mais_alto,0.2702702702702703,0.3783783783783784,0.2702702702702703,1.0,2.642857142857143,1.0,0.16800584368151936,inf,0.8518518518518519,0.7142857142857143,1.0,0.8571428571428572
"Mae_30_34_alta, Instrucao_12_mais_alta, Pre_natal_7_mais_alto",Cesarea_alta,0.2702702702702703,0.3783783783783784,0.2702702702702703,1.0,2.642857142857143,1.0,0.16800584368151936,inf,0.8518518518518519,0.7142857142857143,1.0,0.8571428571428572
